date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:48:04	166/166	---MCZ	200	added ('OK')	text/plain	etag:W/%2266829be9-c2%22	https://bridgebio.com/robots.txt		(from )
02:48:05	52765/52765	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:05%20GMT	https://bridgebio.com/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/index.html	(from )
02:48:05	88708/88708	---M--	200	added ('OK')	image/png	etag:%2266829c0a-1acb1%22	https://bridgebio.com/wp-content/uploads/2019/02/BridgeBio_Share.png	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/uploads/2019/02/BridgeBio_Share.png	(from https://bridgebio.com/)
02:48:06	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%2265999b44-23c%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.css?ver=6.6.2	C:/Users/HP/Documents/programming/clones/bridge-original/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick109c.css	(from https://bridgebio.com/)
02:48:07	44/44	---MC-	302	error ('Found')	text/plain	date:Wed,%2018%20Dec%202024%2010:48:07%20GMT	https://unpkg.com/aos@next/dist/aos.css?ver=6.6.2	C:/Users/HP/Documents/programming/clones/bridge-original/unpkg.com/aos@next/dist/aos.2109c.delayed	(from https://bridgebio.com/)
02:48:07	52/52	---MC-	302	error ('Found')	text/plain	date:Wed,%2018%20Dec%202024%2010:48:07%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/Users/HP/Documents/programming/clones/bridge-original/unpkg.com/aos@next/dist/aos.css	(from https://bridgebio.com/)
02:48:07	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/Users/HP/Documents/programming/clones/bridge-original/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://bridgebio.com/)
02:48:08	86677/86677	---MCZ	200	added ('OK')	text/css	etag:W/%226740f475-15295%22	https://bridgebio.com/wp-content/themes/bridgebio/style.css?ver=1734518160	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/themes/bridgebio/style2112.css	(from https://bridgebio.com/)
02:48:08	53379/53379	---MCZ	200	added ('OK')	text/css	etag:W/%226740f476-d083%22	https://bridgebio.com/wp-content/themes/bridgebio/assets/css/secondary-css.css?ver=1734518160	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/themes/bridgebio/assets/css/secondary-css2112.css	(from https://bridgebio.com/)
02:48:08	5403/5403	---MCZ	200	added ('OK')	text/css	etag:W/%2266b4e50c-151b%22	https://bridgebio.com/wp-content/themes/bridgebio/assets/css/onetrust.css?ver=1734518160	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/themes/bridgebio/assets/css/onetrust2112.css	(from https://bridgebio.com/)
02:48:08	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://bridgebio.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://bridgebio.com/)
02:48:09	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://bridgebio.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://bridgebio.com/)
02:48:09	12374/12374	---MCZ	200	added ('OK')	application/javascript	etag:W/%226740f475-3056%22	https://bridgebio.com/wp-content/themes/bridgebio/assets/js/scripts.js?ver=1734518160	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/themes/bridgebio/assets/js/scripts2112.js	(from https://bridgebio.com/)
02:48:09	88955/88955	---M-Z	200	added ('OK')	application/javascript	etag:%2265999b45-39e1%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.js?ver=6.6.2	C:/Users/HP/Documents/programming/clones/bridge-original/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick109c.js	(from https://bridgebio.com/)
02:48:10	43/43	---MC-	302	error ('Found')	text/plain	date:Wed,%2018%20Dec%202024%2010:48:10%20GMT	https://unpkg.com/aos@next/dist/aos.js?ver=6.6.2	C:/Users/HP/Documents/programming/clones/bridge-original/unpkg.com/aos@next/dist/aos109c.js	(from https://bridgebio.com/)
02:48:10	51/51	---MC-	302	error ('Found')	text/plain	date:Wed,%2018%20Dec%202024%2010:48:10%20GMT	https://unpkg.com/aos@next/dist/aos.js	C:/Users/HP/Documents/programming/clones/bridge-original/unpkg.com/aos@next/dist/aos.js	(from https://bridgebio.com/)
02:48:10	13800/13800	---MCZ	200	added ('OK')	application/javascript	etag:W/%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js	C:/Users/HP/Documents/programming/clones/bridge-original/unpkg.com/aos@3.0.0-beta.6/dist/aos.js	(from https://bridgebio.com/)
02:48:10	0/0	---M--	200	added ('OK')	application/javascript	etag:%2266e85bb6-0%22	https://bridgebio.com/wp-content/themes/bridgebio/assets/js/modal.js?ver=1734518160	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/themes/bridgebio/assets/js/modal2112.js	(from https://bridgebio.com/)
02:48:11	382894/382894	---MCZ	200	added ('OK')	application/json	date:Wed,%2018%20Dec%202024%2010:48:11%20GMT	https://bridgebio.com/wp-json/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-json/index.html	(from https://bridgebio.com/)
02:48:11	10481/10481	---MCZ	200	added ('OK')	application/json	date:Wed,%2018%20Dec%202024%2010:48:11%20GMT	https://bridgebio.com/wp-json/wp/v2/pages/852	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-json/wp/v2/pages/852.json	(from https://bridgebio.com/)
02:48:12	793/793	---MCZ	200	added ('OK')	text/xml	date:Wed,%2018%20Dec%202024%2010:48:12%20GMT	https://bridgebio.com/xmlrpc.php?rsd	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/xmlrpc0db0.php	(from https://bridgebio.com/)
02:48:12	2358/2358	---MCZ	200	added ('OK')	application/json	date:Wed,%2018%20Dec%202024%2010:48:12%20GMT	https://bridgebio.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbridgebio.com%2F	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-json/oembed/1.0/embedaac7.json	(from https://bridgebio.com/)
02:48:12	2551/2551	---MCZ	200	added ('OK')	text/xml	date:Wed,%2018%20Dec%202024%2010:48:12%20GMT	https://bridgebio.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbridgebio.com%2F&format=xml	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-json/oembed/1.0/embedd8d4	(from https://bridgebio.com/)
02:48:12	766/766	---M--	200	added ('OK')	image/png	etag:%2266829bf4-425%22	https://bridgebio.com/wp-content/uploads/2024/02/cropped-cropped-favicon-32x32.png	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/uploads/2024/02/cropped-cropped-favicon-32x32.png	(from https://bridgebio.com/)
02:48:13	5633/5633	---M--	200	added ('OK')	image/png	etag:%2266829bfe-1a56%22	https://bridgebio.com/wp-content/uploads/2024/02/cropped-cropped-favicon-192x192.png	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/uploads/2024/02/cropped-cropped-favicon-192x192.png	(from https://bridgebio.com/)
02:48:13	5931/5931	---M--	200	added ('OK')	image/png	etag:%2266829bfe-1c5d%22	https://bridgebio.com/wp-content/uploads/2024/02/cropped-cropped-favicon-180x180.png	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/uploads/2024/02/cropped-cropped-favicon-180x180.png	(from https://bridgebio.com/)
02:48:14	22446/22446	---M-Z	200	added ('OK')	application/javascript	etag:0x8DD1DE4B7A34202	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/HP/Documents/programming/clones/bridge-original/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://bridgebio.com/)
02:48:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2018%20Dec%202024%2010:48:15%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Documents/programming/clones/bridge-original/www.googletagmanager.com/gtm.185445.delayed	(from https://bridgebio.com/)
02:48:16	37425/37425	---MCZ	200	added ('OK')	text/javascript	etag:W/%22acef795c672bbb8b4307fc86de6f1974%22	https://edge.marker.io/latest/shim.js	C:/Users/HP/Documents/programming/clones/bridge-original/edge.marker.io/latest/shim.js	(from https://bridgebio.com/)
02:48:16	4932/4932	---M--	200	added ('OK')	image/png	etag:%226740f476-2937%22	https://bridgebio.com/bridge logo.webp	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/bridge logo.webp	(from https://bridgebio.com/)
02:48:16	9871/9871	---M--	200	added ('OK')	image/png	etag:%2266829bfd-bfdd%22	https://bridgebio.com/bridge logo.webp	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/bridge logo.webp	(from https://bridgebio.com/)
02:48:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Dec%202024%2010:48:17%20GMT	https://bridgebio.com/pipeline	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/pipeline	(from https://bridgebio.com/)
02:48:17	53079/53079	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:17%20GMT	https://bridgebio.com/about-us/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/about-us/index.html	(from https://bridgebio.com/)
02:48:17	39224/39224	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:17%20GMT	https://bridgebio.com/licensing-opportunities	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/licensing-opportunities.html	(from https://bridgebio.com/)
02:48:17	71693/71693	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:17%20GMT	https://bridgebio.com/people/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/people/index.html	(from https://bridgebio.com/)
02:48:18	1147/1147	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226740f476-47b%22	https://bridgebio.com/wp-content/themes/bridgebio/assets/img/icons/x-circle.svg	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/themes/bridgebio/assets/img/icons/x-circle.svg	(from https://bridgebio.com/)
02:48:19	67704/67704	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:18%20GMT	https://bridgebio.com/pipeline/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/pipeline/index.html	(from https://bridgebio.com/)
02:48:19	41465/41465	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:18%20GMT	https://bridgebio.com/partners/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/partners/index.html	(from https://bridgebio.com/)
02:48:19	84559/84559	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:18%20GMT	https://bridgebio.com/careers/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/careers/index.html	(from https://bridgebio.com/)
02:48:19	59998/59998	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:19%20GMT	https://bridgebio.com/publications/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/publications/index.html	(from https://bridgebio.com/)
02:48:19	37556/37556	---M--	200	added ('OK')	image/png	etag:%226740f476-b8dc%22	https://bridgebio.com/wp-content/themes/bridgebio/assets/img/attruby-logo.png	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/wp-content/themes/bridgebio/assets/img/attruby-logo.png	(from https://bridgebio.com/)
02:48:20	50939/50939	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202024%2010:48:19%20GMT	https://bridgebio.com/patients-and-families/	C:/Users/HP/Documents/programming/clones/bridge-original/bridgebio.com/patients-and-families/index.html	(from https://bridgebio.com/)
